Requirement_ID,PDF_Page,Printed_Page,Section,Requirement_Description_AR,Level,Category,Acceptance_Evidence,Current_Portal_Status
TAIZ-NFR-005,7,6,Part 2,زمن استرجاع المتجهات واستجابة البحث الدلالي أقل من 500 ملي ثانية,MUST,NFR,قياس أزمنة استجابة البحث المتجهي في Qdrant,TO_BUILD
TAIZ-NFR-006,7,6,Part 10,نسبة الجاهزية والتوافرية التشغيلية السنوية للمنصة لا تقل عن (99.9%),MUST,NFR,مراجعة بنية التكرار وتقارير المراقبة,FOUNDATION
TAIZ-OPS-001,7,6,Part 10,تشغيل كافة مكونات وخدمات المنصة داخل حاويات Docker معيارية معزولة,MUST,OPS,فحص ملفات Dockerfile وصحة تشغيل الحاويات,FOUNDATION
TAIZ-OPS-002,7,6,Part 10,إدارة ونشر الحاويات عبر Kubernetes مع تفعيل التوسع الأفقي التلقائي (HPA),MUST,OPS,مراجعة ملفات Kubernetes Manifests / Helm Charts,FOUNDATION
TAIZ-OPS-003,7,6,Part 10,استخدام عنقود Redis Cluster للتخزين المؤقت لجلسات المستخدمين والبيانات المتكررة,MUST,OPS,فحص أداء الكاش ومعدل إصابة الذاكرة Cache Hit,FOUNDATION
TAIZ-OPS-004,7,6,Part 10,استخدام نظام تخزين الملفات والوسائط الموزع MinIO المتوافق مع بروتوكول S3,MUST,OPS,فحص عمليات حفظ واسترجاع الملفات في MinIO,FOUNDATION
TAIZ-OPS-005,7,6,Part 10,خطة النسخ والتعافي: نقطة استعادة بيانات RPO لا تتجاوز ساعة واحدة (RPO <= 1h),MUST,OPS,فحص ميزة PostgreSQL WAL Streaming والنسخ,FOUNDATION
TAIZ-OPS-006,7,6,Part 10,خطة النسخ والتعافي: زمن استعادة تشغيلي RTO لا يتجاوز 4 ساعات (RTO <= 4h),MUST,OPS,توثيق تجربة استعادة وفشل تشغيلي فعلية (Failover),FOUNDATION
TAIZ-OPS-007,7,6,Part 10,خطوط CI/CD مؤتمتة وفصل البيئات (Dev, Test, Staging, Prod) مع التراجع التلقائي,MUST,OPS,مراجعة خطوط الأتمتة واختبار النشر والتراجع,READY
TAIZ-DEV-001,5,4,Part 10,بناء المنصة بنمط المعمارية الموحدة النموذجية (Modular Monolith - Microservices Ready),MUST,DEV,تدقيق الهيكل المعماري البرمجي وفصل الطبقات,READY
TAIZ-ACC-001,34,33,Part 12,تحقيق تغطية اختبارات أوتوماتيكية للكود (Unit Testing Coverage) لا تقل عن 75%,MUST,ACC,تقرير تغطية الكود الآلي الصادر من أدوات الفحص,FOUNDATION
TAIZ-ACC-002,34,33,Part 12,تطبيق إجراءات مراجعة الأكواد الثنائية (Peer Code Review) قبل الدمج في المستودع,MUST,ACC,فحص سجلات Pull Requests والموافقات في Git,READY
TAIZ-ACC-003,34,33,Part 12,اختبارات النظام الشاملة والطرف للطرف (E2E Testing) باستخدام Playwright,MUST,ACC,تنفيذ واجتياز اختبارات Playwright الآلية بنجاح,READY
TAIZ-ACC-004,34,33,Part 12,خلو المنصة التام من أي خطأ حرج (Zero Critical Bugs) عند موعد الاستلام الابتدائي,MUST,ACC,تقرير فحص المعاينة وقبول المستخدم النهائي UAT,READY
TAIZ-DOC-001,7,6,Part 15,تسليم حزمة التوثيق الفني والمعماري الشاملة باللغة العربية (D-01 إلى D-06),MUST,DOC,مراجعة واعتماد حزمة وثائق المواصفات والمعمارية,READY
TAIZ-DOC-002,7,6,Part 15,تسليم أدلة المستخدم وكتيبات إدارة وتشغيل المنصة والخوادم باللغة العربية (D-11),MUST,DOC,اعتماد أدلة الاستخدام والتشغيل باللغة العربية,READY
TAIZ-TRN-001,7,6,Part 15,برنامج تدريبي متخصص بإجمالي 80 ساعة تدريبية معتمدة لـ 40 متدرباً من كوادر الجامعة,MUST,TRN,محاضر وتقييمات إتمام الدورات التدريبية,READY
TAIZ-TRN-001.1,34,33,Part 15,تدريب 10 مهندسين من كادر الجامعة والـ DevOps (40 ساعة) على المعمارية والصيانة,MUST,TRN,محضر حضور وتدريب مهندسي النظام الـ 10,READY
TAIZ-TRN-001.2,34,33,Part 15,تدريب 30 مديراً ومحرراً للمحتوى بالكليات (20 ساعة) على إدارة المواقع والنشر,MUST,TRN,محضر حضور وتدريب مسؤولي المحتوى الـ 30,READY
TAIZ-TRN-001.3,34,33,Part 15,تدريب فرق الأمن السيبراني والذكاء الاصطناعي (20 ساعة) على مراقبة RAG وتدقيق الأمان,MUST,TRN,محضر تدريب فرق الأمن والذكاء الاصطناعي,READY
TAIZ-SLA-001,28,27,Part 10,التزام تعاقدي بضمان وصيانة مجانية شاملة لمدة 12 شهراً بعد الإطلاق الرسمي,MUST,OPS,اتفاقية الضمان الموقعة وجداول الدعم الفني,READY
TAIZ-SLA-002,40,39,Part 10,الالتزام بأزمنة الاستجابة لاتفاقية مستوى الخدمة SLA: الحوادث الحرجة P1 خلال ساعتين,MUST,OPS,فحص سجلات تذاكر الدعم والالتزام بـ P1 <= 2h,READY
TAIZ-DEL-001..016,28,28,Part 8,الالتزام بتسليم المخرجات الـ 16 المحددة (D-01 إلى D-16) وفق مواعيدها ومعايير قبولها,MUST,ACC,محاضر الاستلام المرحلي الموقعة لكافة التسليمات,FOUNDATION
