Req_ID,Category,Level,RFP_Statement_AR,Compliance_Status,Current_Implementation_Evidence,Proposed_Technical_Solution,Effort_Days,Owner_Role
TAIZ-SEC-009,SEC,MUST,تسجيل كافة العمليات الحساسة في سجلات تدقيق غير قابلة للتعديل,READY,مطبق في جدول audit_logs ومحمي من التعديل والحذف,تصدير دوري مشفر للسجلات إلى خادم سجلات منفصل,3,Cybersecurity Lead
TAIZ-SEC-010,SEC,MUST,إنجاز تقرير فحص أمني واختبار اختراق معتمد من طرف ثالث مستقل,TO_BUILD,الفحوصات الحالية داخلية واختبارات آلية في CI/CD,التعاقد مع شركة أمن سيبراني معتمدة لإجراء PenTest نظيف,14,Project Manager
TAIZ-A11Y-001,A11Y,MUST,الامتثال التام لمعيار النفاذية العالمي WCAG 2.2 Level AA,FOUNDATION,الواجهات الحالية تلتزم بالهيكلة الدلالية وتباين الألوان,مراجعة وتصحيح كافة الشاشات لتحقيق توافق 100% مع 2.2 AA,10,Frontend Lead
TAIZ-A11Y-002,A11Y,MUST,التوافق مع برامج قراءة الشاشة وتوفير نصوص Alt لكافة الصور,FOUNDATION,العناصر الرئيسية تدعم وسوم Alt و ARIA الأساسية,استكمال نصوص Alt البديلة وإضافة تسميات aria-label لكافة الحقول,6,Frontend Lead
TAIZ-A11Y-003,A11Y,MUST,التنقل والتحكم الكامل بكافة الوظائف عبر لوحة المفاتيح حصراً,FOUNDATION,يمكن التنقل في معظم النماذج بمفتاح Tab,توحيد مؤشرات التركيز ودعم الأسهم وروابط التخطي (Skip Links),5,Frontend Lead
TAIZ-A11Y-004,A11Y,MUST,وسوم ARIA Landmarks الصحيحة ومؤشرات تركيز بصرية واضحة,FOUNDATION,وسوم ARIA الأساسية متوفرة في المكونات المشتركة,مراجعة شجرة ARIA في كافة الشاشات لضمان التعرف السليم,4,Frontend Lead
TAIZ-A11Y-005,A11Y,MUST,نسب التباين اللوني (>= 4.5:1 للنصوص و 3:1 للعناصر الكبيرة),FOUNDATION,نظام الألوان يحقق التباين المطلوب في معظم العناصر,تدقيق لوحة ألوان الكليات الـ 25 وضمان التباين المعياري,3,Frontend Lead
TAIZ-A11Y-006,UX,SHOULD,أدوات سهلة لتكبير الخط وتبديل نمط التباين العالي (Widget),FOUNDATION,أنماط الألوان تعتمد متغيرات Tailwind,إضافة أداة تيسير الوصول في الترويسة للتحكم بحجم الخط والتباين,3,Frontend Lead
TAIZ-A11Y-007,A11Y,MUST,تقارير فحص نفاذية رقمية معتمدة عبر أدوات (axe-core و Pa11y),FOUNDATION,يتم فحص الأداء والنفاذية عبر Lighthouse أثناء التطوير,دمج أدوات axe-core و Pa11y في خطوط CI/CD واستخراج تقارير نظيفة,5,Frontend Lead
TAIZ-SEO-001,UX,MUST,محرك أتمتة الـ SEO والبيانات المنظمة Schema.org / JSON-LD,FOUNDATION,يتم توليد وسوم Meta الأساسية في صفحات الأخبار,بناء وحدة توليد تلقائي للبيانات المنظمة JSON-LD للبرامج والأخبار,6,Frontend Lead
TAIZ-SEO-002,UX,MUST,توليد بطاقات المشاركة الاجتماعية (Open Graph / Twitter),READY,وسوم المشاركة الاجتماعية متوفرة في صفحات الأخبار,توليد الصور والبيانات الوصفية للبطاقات تلقائياً عند النشر,2,Frontend Lead
TAIZ-SEO-003,UX,MUST,توليد خرائط المواقع Sitemap.xml للـ 25 موقعاً وتحديثها لحظياً,FOUNDATION,يتم توليد خريطة sitemap.xml ثابتة للموقع الحالي,أتمتة توليد خرائط المواقع للـ 25 موقعاً وتحديثها لحظياً عند النشر,5,Backend Lead
TAIZ-SEO-004,INT,MUST,الربط التلقائي بـ Google Indexing API للفهرسة الفورية,TO_BUILD,يتم الاعتماد على أرشفة محركات البحث التلقائية,دمج خدمة إرسال إشعارات الفهرسة الفورية لـ Google Indexing API,5,Backend Lead
TAIZ-SEO-005,UX,MUST,هيكلة المحتوى الأكاديمي والبحثي لرفع تصنيف Webometrics,FOUNDATION,هيكل البرامج والكادر الحالي يدعم محركات البحث,تنظيم روابط المستودع الرقمي وأبحاث الكادر الأكاديمي,5,Solutions Architect
TAIZ-SEO-006,DATA,MUST,إدارة الروابط والتحويلات 301 لحماية قوة الأرشفة التاريخية,TO_BUILD,التوجيه يتم عبر الراوتر الحالي,إعداد جدول خريطة تحويلات 301 لكافة روابط موقع تعز القديم,5,Backend Lead
TAIZ-INT-001,INT,MUST,بناء بوابة API Gateway للتحكم بالأمان ومعدل الطلبات,FOUNDATION,الاتصال يتم عبر PostgREST و Functions المؤمنة,نشر طبقة Kong/FastAPI Gateway للتحكم بحركة البيانات وتحديد المعدل,8,Solutions Architect
TAIZ-INT-002,INT,MUST,توفير 4 موصلات للأنظمة القائمة (SIS, HR, Finance, LMS) بنمط Read-Only,FOUNDATION,نماذج البيانات معزولة ومصممة للتكامل الخارجي,تطوير 4 موصلات للاتصال بقواعد جامعة تعز القديمة بنمط Read-Only,12,Backend Lead
TAIZ-INT-003,DOC,MUST,توثيق الواجهات البرمجية المعياري وفق OpenAPI 3.0 / Swagger,READY,واجهات النظام موثقة وتدعم معيار OpenAPI تلقائياً,تجميع وثائق الـ API في بوابة مطورين تفاعلية باللغتين,3,Backend Lead
TAIZ-INT-004,DATA,MUST,تنفيذ خطة وأنابيب ETL مبرمجة لترحيل وتطهير البيانات التاريخية,FOUNDATION,تم تنفيذ هجرة بيانات سابقة للطلاب والمقررات,كتابة سكريبتات وأنابيب ETL لترحيل وتطهير أخبار ووثائق تعز القديمة,10,Content Lead
TAIZ-NFR-001,NFR,MUST,تحمل 5,000 مستخدم متزامن في أوقات الذروة دون انهيار,FOUNDATION,بنية المنصة سريعة وتعتمد قواعد بيانات محسنة بالفهارس,تطبيق Redis Cluster و K8s HPA وإجراء اختبارات محاكاة بـ Locust,8,DevOps Specialist
TAIZ-NFR-002,NFR,MUST,قابلية التوسع الأفقي التلقائي لاستيعاب حتى 25,000 مستخدم,FOUNDATION,المعمارية مصممة بنمط Stateless على مستوى التطبيق,ضبط قواعد التوسع الأفقي التلقائي للحاويات (HPA) وموارد العقد,6,DevOps Specialist
TAIZ-NFR-003,NFR,MUST,زمن استجابة واجهات التطبيقات API Response Time < 300ms,FOUNDATION,أداء الواجهات الحالي سريع وزمن العمليات المباشرة < 200ms,تفعيل التخزين المؤقت Redis لضمان البقاء تحت 300ms تحت الحمل,5,Frontend Lead
TAIZ-NFR-004,NFR,MUST,زمن تحميل أكبر عنصر محتوى مرئي LCP < 2.5s (Core Web Vitals),FOUNDATION,أداء العرض سريع في الواجهات الحالية,تحسين أداء العرض في Next.js SSR وضغط الصور لتحقيق LCP < 2.5s,5,Frontend Lead
TAIZ-NFR-005,NFR,MUST,زمن استرجاع المتجهات واستجابة البحث الدلالي < 500ms,TO_BUILD,البحث الحالي نصي عبر PostgreSQL,تحسين استعلامات Qdrant HNSW وذاكرة خادم المتجهات لضمان < 500ms,5,AI Specialist
TAIZ-NFR-006,NFR,MUST,نسبة الجاهزية والتوافرية التشغيلية السنوية >= 99.9%,FOUNDATION,المنصة الحالية تحقق استقراراً ممتازاً,إعداد بنية خوادم مكررة عالية التوافر ومراقبة Prometheus/Grafana,6,DevOps Specialist
TAIZ-OPS-001,OPS,MUST,تشغيل كافة الخدمات داخل حاويات Docker معيارية معزولة,FOUNDATION,المنصة تدعم العمل داخل حاويات وملفات Dockerfile جاهزة,تحديث ملفات Dockerfile لكافة الخدمات وإنشاء صور خفيفة (Alpine),4,DevOps Specialist
TAIZ-OPS-002,OPS,MUST,إدارة الحاويات عبر Kubernetes مع التوسع التلقائي HPA,FOUNDATION,التكوينات الحالية تعتمد Docker Compose,إعداد ملفات Kubernetes Manifests / Helm Charts للنشر والتوسع,10,DevOps Specialist
TAIZ-OPS-003,OPS,MUST,استخدام عنقود Redis Cluster للتخزين المؤقت لجلسات المستخدم,FOUNDATION,التخزين المؤقت الحالي يتم عبر ذاكرة التطبيق,نشر عنقود Redis Cluster للتخزين المؤقت الموزع للجلسات والاستعلامات,6,DevOps Specialist
TAIZ-OPS-004,OPS,MUST,استخدام نظام تخزين الملفات الموزع MinIO المتوافق مع S3,FOUNDATION,تخزين الملفات متوافق مع S3 في Supabase Storage,نشر خادم MinIO المستقل لتخزين وإدارة وسائط الجامعة محلياً,6,DevOps Specialist
TAIZ-OPS-005,OPS,MUST,خطة النسخ والتعافي: نقطة استعادة بيانات RPO <= 1h,FOUNDATION,النسخ الاحتياطي التلقائي لقاعدة البيانات مطبق يومياً,تفعيل PostgreSQL WAL Streaming لضمان استعادة البيانات خلال أقل من ساعة,6,DevOps Specialist
TAIZ-OPS-006,OPS,MUST,خطة النسخ والتعافي: زمن استعادة تشغيلي RTO <= 4h,FOUNDATION,استعادة الخدمات تتم يدوياً من النسخ الاحتياطية,أتمتة سكريبتات التعافي وإجراء تجربة محاكاة فشل تشغيلي (Failover),6,DevOps Specialist
TAIZ-OPS-007,OPS,MUST,خطوط CI/CD مؤتمتة وفصل البيئات مع التراجع التلقائي,READY,خطوط GitHub Actions مفعلة لفحص الاختبارات والتأكد من الجودة,توسيع خطوط CI/CD لتشمل النشر الآلي لبيئات Staging و Production,4,DevOps Specialist
TAIZ-DEV-001,DEV,MUST,بناء المنصة بنمط Modular Monolith (Microservices Ready),READY,المنصة الحالية مبنية بالكامل بنمط Modular Monolith معزول,المحافظة على النمط المعماري وتوسيعه للمواقع الـ 25 ومحرك الذكاء,3,Solutions Architect
TAIZ-ACC-001,ACC,MUST,تغطية اختبارات أوتوماتيكية للكود (Unit Testing) لا تقل عن 75%,FOUNDATION,يتضمن المشروع حالياً أكثر من 900 اختبار برمجي ناجح,توسيع التغطية الاختبارية لتشمل واجهات المستخدم لتحقيق > 80%,10,Backend Lead
TAIZ-ACC-002,ACC,MUST,تطبيق مراجعة الأكواد الثنائية (Peer Code Review) قبل الدمج,READY,مطبق في إدارة المستودع وسياسات حماية الفروع في Git,الاستمرار في إلزام موافقة مراجعين اثنين على أي Pull Request,2,Project Manager
TAIZ-ACC-003,ACC,MUST,اختبارات النظام الشاملة والطرف للطرف (E2E via Playwright),READY,أطر اختبارات Playwright مدمجة في المشروع ومعدة للرحلات,كتابة سيناريوهات E2E إضافية لتدشين المواقع وخدمات الكادر,6,Frontend Lead
TAIZ-ACC-004,ACC,MUST,خلو المنصة التام من أي خطأ حرج (Zero Critical Bugs) عند الاستلام,READY,تلتزم المنصة بمعايير الجودة وخلو الخدمات من أي أخطاء حرجة,تطبيق بوابات الجودة (Quality Gates) الصارمة في كل تسليم,4,Project Manager
TAIZ-DOC-001,DOC,MUST,تسليم حزمة التوثيق الفني والمعماري الشاملة بالعربية (D-01..D-06),READY,يتوفر توثيق معماري ودليل تدريبي مفصل باللغة العربية,تحديث حزمة التوثيق لتشمل أدلة المواقع المتعددة والذكاء الاصطناعي,6,Content Lead
TAIZ-DOC-002,DOC,MUST,تسليم أدلة المستخدم وتشغيل المنصة والخوادم بالعربية (D-11),READY,أدلة المستخدم للبوابات جاهزة بالعربية (portal-training-guide.md),توسيع الأدلة لتشمل بوابات الأكاديميين والموظفين وإدارة الخوادم,6,Content Lead
TAIZ-TRN-001,TRN,MUST,برنامج تدريبي متخصص بإجمالي 80 ساعة لـ 40 متدرباً من الكوادر,READY,خطة التدريب والمحتوى العلمي معد ومطابق لتقسيم الساعات الـ 80,تنفيذ البرنامج التدريبي في قاعات الجامعة وتوفير التسجيلات المرئية,14,Content Lead
TAIZ-TRN-001.1,TRN,MUST,تدريب 10 مهندسين (40 ساعة) على المعمارية و K8s والصيانة,READY,حقيبة تدريب المهندسين والـ DevOps جاهزة بالعربية,عقد 40 ساعة تدريبية عملية ومختبرات تطبيقية للمهندسين الـ 10,8,DevOps Specialist
TAIZ-TRN-001.2,TRN,MUST,تدريب 30 مديراً ومحرراً للمحتوى (20 ساعة) على إدارة المواقع والنشر,READY,حقيبة تدريب محرري المحتوى والنفاذية جاهزة,عقد 20 ساعة تدريبية تطبيقية لمدراء محتوى الكليات الـ 30,4,Content Lead
TAIZ-TRN-001.3,TRN,MUST,تدريب فرق الأمن والذكاء (20 ساعة) على مراقبة RAG وتدقيق الأمان,READY,مادة تدريب أمن النماذج وتدقيق السجلات جاهزة,عقد 20 ساعة تدريبية لفرق الأمن والذكاء الاصطناعي,4,AI Specialist
TAIZ-SLA-001,OPS,MUST,التزام بضمان وصيانة مجانية شاملة لمدة 12 شهراً بعد الإطلاق,READY,التزام تعاقدي كامل بتقديم الدعم الفني والصيانة مجاناً لمدة سنة,تخصيص فريق دعم مفرغ ونظام تذاكر إلكتروني لمتابعة بلاغات الجامعة,365,Project Manager
TAIZ-SLA-002,OPS,MUST,الالتزام بأزمنة الاستجابة لاتفاقية SLA: الحوادث الحرجة P1 <= 2h,READY,مصفوفة مستويات الدعم (P1-P4) محددة بإجراءات تصعيد آلية,الالتزام بالاستجابة للحوادث الحرجة خلال ساعتين ومعالجتها فوراً,365,Project Manager
TAIZ-DEL-001..016,ACC,MUST,الالتزام بتسليم المخرجات الـ 16 المحددة (D-01 إلى D-16),FOUNDATION,خطة تسليم المخرجات متوافقة مع مصفوفة WBS للـ 32 أسبوعاً,إنجاز وتسليم كل مخرج في موعده واعتماده بمحضر استلام رسمي,160,Project Manager
