Requirement_ID,Page_Number,Section_Reference,Category,Obligation_Level,Requirement_Title,Requirement_Description,Delivery_Phase,Responsible_Role,Evaluation_Criterion,Weight_Percentage,Required_Evidence,Acceptance_Criteria,Dependency,Risk_Level,Source_Confidence
REQ-SEC-004,"13, 34",الأمن والتشغيل - سجلات التدقيق غير القابلة للتعديل,Security,MUST,سجلات تدقيق العمليات الحساسة (Immutable Audit Trail),تسجيل كافة العمليات الإدارية الحساسة ومحاولات الدخول والتعديلات وتغيير الصلاحيات في سجلات تدقيق مشفرة ومحمية ضد التعديل أو الحذف من أي مستخدم.,Phase 2-3 (W5-W20),Backend Lead,الأمن السيبراني والأداء,15%,جداول وآليات الـ Audit Logs، سياسات القفل ومنع الحذف (Append-only)، واجهات استعراض السجلات للإدارة,توثيق كافة الحركات الإدارية والأمنية بدقة واستحالة التلاعب بالسجلات حتى من مدير النظام,REQ-IAM-002,HIGH,HIGH
REQ-SEC-005,34,الأمن والتشغيل - فحص الملفات المرفوعة وحظر الفيروسات,Security,MUST,فحص الملفات بمضاد فيروسات (Antivirus/Sandbox) وحظر الملحقات الخطرة,تمرير جميع الملفات المرفوعة عبر بروتوكول ICAP أو محرك فحص مضاد للفيروسات وعزل الملفات المشبوهة وحظر الامتدادات التنفيذية والخطرة تماماً.,Phase 2 (W5-W12),Cybersecurity Specialist,الأمن السيبراني والأداء,15%,شفرة تكامل خدمة الفحص الأمني للملفات، قائمة الامتدادات المحظورة والمسموحة، سجلات العزل,حظر رفع أي ملف تنفيذي أو مشبوه وإصدار تنبيه أمني فوري وتأمين السيرفر,REQ-ARC-004,HIGH,HIGH
REQ-PRF-001,"6, 7, 24, 28, 30, 32, 34, 39",الأداء والأحمال - المستخدمين المتزامنين ومؤشرات الويب,Non-Functional,MUST,"دعم 5,000 مستخدم متزامن والتوسع لـ 25,000 مع LCP < 2.5s (RTM-08 / BOQ 5.3)","تحقيق استقرار النظام وسرعة استجابة فائقة تحت أحمال لا تقل عن 5,000 مستخدم متزامن مع القابلية للتوسع حتى 25,000، وتحقيق مؤشرات Core Web Vitals (LCP < 2.5s, API Response < 300ms).",Phase 5 (W25-W28),DevOps Specialist,الأمن السيبراني والأداء (RTM-08),15%,تقارير اختبارات الضغط الحية عبر Locust/JMeter، ومؤشرات Lighthouse / Core Web Vitals,"اجتياز اختبار الضغط بحمولة 5,000 مستخدم متزامن بنسبة خطأ 0% وزمن استجابة ضمن الحدود المعتمدة",REQ-ARC-003,HIGH,HIGH
REQ-PRF-002,"24, 25, 28, 33",الأداء والتخزين المؤقت - شبكة الكاش Redis,Non-Functional,MUST,طبقة التخزين المؤقت الموزعة Redis Cluster,تطبيق استراتيجية التخزين المؤقت الموزع لقواعد البيانات وجلسات المستخدمين ونتائج الاستعلامات المتكررة لتقليل الضغط على قاعدة البيانات المركزية وتسريع الاستجابة.,Phase 2-3 (W5-W20),Backend Lead,الأمن السيبراني والأداء,15%,تكوين Redis Cluster، كود الـ Caching Layer ومعدلات الإصابة (Cache Hit Ratio > 85%),تحقيق تسريع ملحوظ في استجابة الصفحات واستيعاب استعلامات الطلاب دون إجهاد PostgreSQL,REQ-ARC-001,HIGH,HIGH
REQ-UXA-001,"6, 8, 14, 15, 24, 28, 30, 37",النفاذية وتجربة المستخدم - معيار WCAG 2.2 AA,Non-Functional,MUST,مطابقة النفاذية الرقمية WCAG 2.2 Level AA (RTM-05 / BOQ 1.1),تطوير كافة الواجهات وفق معيار إتاحة الوصول العالمي WCAG 2.2 Level AA بدعم قارئات الشاشة (NVDA/JAWS)، التنقل الكامل بلوحة المفاتيح، وتباين ألوان لا يقل عن 4.5:1.,Phase 2 (W5-W12),Frontend Lead,تجربة المستخدم والنفاذية (RTM-05),10%,تقرير فحص أدوات axe-core / Pa11y، محضر الفحص اليدوي للتنقل بلوحة المفاتيح وقارئات الشاشة,اجتياز اختبارات axe-core الآلية بنسبة امتثال 100% دون أي أخطاء حرجة,REQ-FR-001,HIGH,HIGH
REQ-UXA-002,"5, 6, 8, 37",تجربة المستخدم - التصميم المتجاوب ودعم الاتجاهين,Non-Functional,MUST,التصميم المتجاوب الكامل ودعم الاتجاهين (RTL / LTR),دعم كامل للتصفح على الحواسيب والأجهزة اللوحية والهواتف الذكية (Mobile First) مع دعم متقن للغتين العربية (RTL) والإنجليزية (LTR) وخطوط عربية مؤسسية واضحة.,Phase 2 (W5-W12),Frontend Lead,تجربة المستخدم والنفاذية,10%,شاشات الواجهات المتجاوبة على مختلف المقاسات، ملفات تنسيقات الـ RTL/LTR,اختبار تجربة التصفح على أجهزة متعددة وضمان سلامة المحاذاة والخطوط في اللغتين,REQ-FR-001,HIGH,HIGH
REQ-BCP-001,"7, 17, 28, 30, 39",استمرارية الأعمال - خطة التعافي من الكوارث والنسخ الاحتياطي,Non-Functional,MUST,استراتيجية التعافي من الكوارث (RPO <= 1h و RTO <= 4h / BOQ 5.4),إعداد بيئة تشغيلية متكاملة للنسخ الاحتياطي الآلي والتعافي من الكوارث مع تحقيق هدف نقطة استعادة (RPO <= 1 ساعة) وهدف زمن استعادة (RTO <= 4 ساعات) عبر WAL Streaming.,Phase 4 (W21-W24),DevOps Specialist,الأمن السيبراني والأداء,15%,وثيقة خطة DR المعتمدة، تكوين PostgreSQL WAL Streaming، سكريبتات الاستعادة الآلية، محضر اختبار الـ Failover,إجراء اختبار محاكاة انقطاع مفاجئ للخدمة والتحقق من استعادة كامل البيانات خلال أقل من 4 ساعات وفقدان أقل من ساعة,REQ-ARC-001,HIGH,HIGH
REQ-QA-001,"30, 34",ضمان الجودة - تغطية الاختبارات وخلو النظام من الأخطاء,Non-Functional,MUST,تغطية اختبارات Unit Test >= 75% وخلو النظام من Critical Bugs,تحقيق تغطية كود أوتوماتيكية بالاختبارات الأحادية لا تقل عن 75% باستخدام Jest/Vitest، واختبارات تكامل Supertest، واختبارات شاملة E2E عبر Playwright، وخلو النظام من أي خطأ حرج عند التسليم.,Phase 5 (W25-W28),Backend Lead,الأمن السيبراني والأداء,15%,تقارير تغطية الأكواد (Coverage Reports >= 75%)، سيناريوهات Playwright E2E الشغالة، سجل فحص الأخطاء,اجتياز كافة الاختبارات الآلية بنجاح في خط الـ CI/CD وخلو سجل القبول من أي خطأ حرج (Zero Critical Bugs),REQ-ARC-001,HIGH,HIGH
REQ-DOC-001,"7, 23, 29, 30, 31, 34, 40",التوثيق الشامل - حزمة الوثائق باللغة العربية,Documentation,MUST,"حزمة التوثيق الشاملة باللغة العربية (SRS, SDD, API, Ops, User Manuals / BOQ 6.3)",تسليم حزمة توثيق فنية وهندسية وتشغيلية شاملة باللغة العربية بصيغ PDF/Docx تشمل: وثيقة المعمارية، تصميم قاعدة البيانات، أدلة تشغيل ونشر النظام، توثيق الـ APIs بصيغة OpenAPI، وأدلة المستخدمين.,Phase 4-6 (W21-W32),Content/Training Lead,المعمارية والمنهجية,25%,ملفات الوثائق الرسمية الـ 16، واجهة Swagger التفاعلية، أدلة الاستخدام المصورة,مراجعة واعتماد لجنة الجامعة الفنية لكافة الوثائق وتطابقها التام مع النظام المنفذ,REQ-SCP-001,HIGH,HIGH
REQ-TRN-001,"7, 31, 32, 33, 34, 40",التدريب ونقل المعرفة - برنامج الـ 80 ساعة تدريبية,Training,MUST,تنفيذ برنامج تدريبي عملي لـ 80 ساعة تدريبية لـ 40 متدرباً (BOQ 6.1 - 6.2),تنفيذ خطة تدريبية مكثفة تشمل: 40 ساعة للمهندسين (DevOps/K8s/DR)، 20 ساعة لفرق الأمن والذكاء الاصطناعي، و20 ساعة لمدراء ومحرري المحتوى في الكليات (30 متدرباً)، مع تسليم مقاطع فيديو إرشادية.,Phase 6 (W29-W32),Content/Training Lead,سابقة الأعمال وخطة التنفيذ,15%,الحقائب التدريبية، سجلات الحضور والتوقيعات لـ 40 متدرباً، تقارير تقييم المتدربين، الفيديوهات التدريبية,اجتياز المتدربين للاختبارات العملية وقدرتهم على إدارة وتشغيل وإضافة المحتوى باستقلالية تامة,REQ-DOC-001,HIGH,HIGH
REQ-SLA-001,"23, 28, 30, 36, 40, 41",الضمان والدعم الفني - ضمان مجاني 12 شهراً,Warranty,MUST,الضمان المجاني الشامل والدعم الفني لمدة 12 شهراً وفق SLA (BOQ 7.1 - 7.2),تقديم ضمان فني وصيانة ومعالجة ثغرات وتحديثات مجانية لمدة 12 شهراً كاملة بعد الاستلام الابتدائي، مع التزام صارم باتفاقية مستوى الخدمة SLA واستجابة الأعطال الحرجة (P1) خلال ساعتين كحد أقصى.,Phase 6 (Post-Launch 12M),Project Manager,خطة الصيانة واتفاقية SLA والتدريب,Pass/Fail,اتفاقية الضمان ومستوى الخدمة SLA الموقعة، بوابة الدعم الفني، تقارير الصيانة ربع السنوية,الالتزام الكامل بزمن الاستجابة (P1 <= 2h) وحل المشاكل وإصدار التحديثات الدورية دون أي تكاليف إضافية,REQ-SCP-001,HIGH,HIGH
REQ-HR-001,"32, 35, 36",فريق العمل - مدير المشروع (Project Manager),HR,MUST,مدير مشروع معتمد PMP/PRINCE2 بخبرة >= 8 سنوات (تفرغ 100%),توفير مدير مشروع معتمد يحمل شهادة PMP أو PRINCE2 مع خبرة لا تقل عن 8 سنوات في إدارة المشاريع التقنية والتحول الرقمي للجامعات بنسبة تفرغ 100% لكامل مدة المشروع.,Tender Submission & Execution,Project Manager,مؤهلات فريق العمل,10%,السيرة الذاتية المعتمدة، صورة شهادة PMP/PRINCE2 سارية، شهادات الخبرة، خطاب الالتزام بالتفرغ,تحقق اللجنة الفنية من صحة الشهادة والخبرة وسريان الاعتماد الدولي,None,HIGH,HIGH
REQ-HR-002,"32, 35, 36",فريق العمل - قائد معمارية الحلول (Solutions Architect),HR,MUST,قائد معمارية الحلول معتمد TOGAF / AWS بخبرة >= 10 سنوات (تفرغ 50%),توفير قائد معمارية حاصل على شهادة TOGAF أو AWS Certified Solutions Architect بخبرة لا تقل عن 10 سنوات في تصميم الأنظمة المؤسسية الكبرى والمعماريات الموزعة والـ API Gateway.,Tender Submission & Phase 1-3,Solutions Architect,مؤهلات فريق العمل,10%,السيرة الذاتية، صورة شهادة TOGAF / AWS Architect سارية، شهادات الخبرة، وثائق المعمارية السابقة,مطابقة المؤهل والشهادة واعتماد المخططات المعمارية من قبل الاستشاري,None,HIGH,HIGH
REQ-HR-003,"32, 35, 36",فريق العمل - قائد الخدمات الخلفية (Backend Lead),HR,MUST,قائد الخدمات الخلفية بكالوريوس هندسة/حاسوب بخبرة >= 7 سنوات (تفرغ 100%),توفير قائد تطوير الباك إند حاصل على مؤهل جامعي في هندسة البرمجيات أو علوم الحاسوب بخبرة لا تقل عن 7 سنوات في تطوير قواعد البيانات، والـ SSO، والـ APIs والتكامل مع الـ SIS.,Tender Submission & Phase 2-5,Backend Lead,مؤهلات فريق العمل,10%,السيرة الذاتية، المؤهل الجامعي، شهادات الخبرة، مستودعات الأعمال السابقة,تحقق اللجنة من الكفاءة البرمجية والخبرة في بناء بوابات الدخول الموحد وقواعد البيانات,None,HIGH,HIGH
REQ-HR-004,"32, 35, 36",فريق العمل - قائد الواجهات والنفاذية (Frontend Lead),HR,MUST,قائد واجهات ونفاذية بكالوريوس حاسوب بخبرة >= 6 سنوات (تفرغ 100%),توفير قائد تطوير الواجهات حاصل على مؤهل جامعي في تقنية المعلومات أو علوم الحاسوب بخبرة لا تقل عن 6 سنوات في Next.js/React و Tailwind وضمان معايير النفاذية WCAG 2.2 AA والـ SEO.,Tender Submission & Phase 2-5,Frontend Lead,مؤهلات فريق العمل,10%,السيرة الذاتية، المؤهل الجامعي، شهادات الخبرة، نماذج الواجهات السابقة,التحقق من خبرة المطور في بناء واجهات Next.js عالية الأداء ومطابقة إمكانية الوصول,None,HIGH,HIGH
REQ-HR-005,"32, 35, 36",فريق العمل - مهندس الذكاء الاصطناعي (AI/RAG Specialist),HR,MUST,مهندس ذكاء اصطناعي ماجستير/بكالوريوس ذكاء اصطناعي بخبرة >= 5 سنوات (تفرغ 75%),توفير مهندس ذكاء اصطناعي متخصص حاصل على مؤهل في الذكاء الاصطناعي بخبرة لا تقل عن 5 سنوات في بناء خطوط أنابيب الـ RAG، وضبط الـ Vector Databases، واستضافة النماذج مفتوحة المصدر محلياً.,Tender Submission & Phase 3-5,AI/RAG Specialist,مؤهلات فريق العمل,10%,السيرة الذاتية، المؤهل العلمي، شهادات الخبرة والأبحاث/المشاريع المطبقة في الـ RAG و NLP العربي,التحقق من خبرة المهندس في تشغيل Qdrant والنماذج المحلية وتطوير حلول RAG سيادية,None,HIGH,HIGH
REQ-HR-006,"32, 35, 36",فريق العمل - خبير الأمن السيبراني (Cybersecurity Specialist),HR,MUST,خبير أمن سيبراني حاصل على CISSP / CEH / ISO 27001 بخبرة >= 6 سنوات (تفرغ 40%),"توفير خبير أمن سيبراني معتمد حاصل على إحدى شهادات (CISSP, CEH, ISO 27001 Lead Auditor) بخبرة لا تقل عن 6 سنوات في تطبيق ضوابط OWASP ASVS وإدارة اختبارات الاختراق والتشفير.","Tender Submission & Phase 2, 5",Cybersecurity Specialist,مؤهلات فريق العمل,10%,السيرة الذاتية، صور الشهادات الاحترافية الدولية سارية المفعول، شهادات الخبرة الأمنية,التحقق الرسمي من سريان الشهادات الأمنية واعتماد خطة الفحص الأمني,None,HIGH,HIGH
REQ-HR-007,"33, 35, 36",فريق العمل - مهندس عمليات DevOps (DevOps Specialist),HR,MUST,مهندس عمليات DevOps معتمد CKA / Docker بخبرة >= 5 سنوات (تفرغ 50%),توفير مهندس DevOps معتمد حاصل على شهادة CKA أو Docker Certified بخبرة لا تقل عن 5 سنوات في إعداد خطوط CI/CD، وإدارة حاويات Kubernetes، وتكوين بيئات التعافي من الكوارث والتوسع التلقائي.,"Tender Submission & Phase 2, 4, 6",DevOps Specialist,مؤهلات فريق العمل,10%,السيرة الذاتية، صورة شهادة CKA/Docker سارية المفعول، شهادات الخبرة في إدارة الكلاستر,التحقق من الشهادة والخبرة ونجاح تهيئة بيئة Kubernetes المحلية,None,HIGH,HIGH
REQ-HR-008,"33, 35, 36",فريق العمل - أخصائي ترحيل المحتوى والتدريب (Content/Training Lead),HR,MUST,أخصائي ترحيل محتوى وتدريب بكالوريوس نظم معلومات بخبرة >= 4 سنوات (تفرغ 100%),توفير مسؤول لترحيل المحتوى والتدريب حاصل على مؤهل في نظم المعلومات بخبرة لا تقل عن 4 سنوات في تنفيذ أنابيب ETL لهجرة البيانات وإعداد المواد التدريبية والأدلة التوثيقية باللغة العربية.,Tender Submission & Phase 4-6,Content/Training Lead,مؤهلات فريق العمل,10%,السيرة الذاتية، المؤهل الجامعي، شهادات الخبرة في إدارة المحتوى والتدريب المؤسسي,التحقق من كفاءة إدارة عمليات الترحيل وتنفيذ الورش التدريبية لـ 40 متدرباً بنجاح,None,HIGH,HIGH
REQ-TIM-001,"23, 31, 32",الجدول الزمني - مدة التنفيذ الإجمالية (32 أسبوعاً),Administrative,MUST,الالتزام بمدة التنفيذ الإجمالية (32 أسبوعاً موزعة على 6 مراحل),تنفيذ وتسليم كافة مراحل المشروع الست في مدة زمنية لا تتجاوز 32 أسبوعاً (8 أشهر) وفق منهجية هجينة (Waterfall/Agile) وتسليم المخرجات D-01 إلى D-16 في مواعيدها المحددة.,All Phases (W1-W32),Project Manager,الجدول الزمني ومصفوفة WBS,15%,الجدول الزمني التفصيلي WBS ومخطط Gantt Chart، تقارير الإنجاز الشهرية المعتمدة,الالتزام بالمواعيد النهائية لكل مرحلة دون أي تأخير غير معتمد من لجنة الجامعة,None,HIGH,HIGH
